23	34	40	49	51	54	59	61	67	70	83	93	94	97	106	115	133	135	136	150	157	170	172	192	194	196	198
91	37	91	48	165	123	186	188	91	165	17	68	48	185	36	185	86	91	165	149	184	10	185	186	123	122	91
122	122	156	123	48	187	163	116	156	123	13	99	163	149	163	37	53	171	36	58	116	186	108	187	169	53	37
124	171	122	10	109	12	187	41	102	163	153	71	65	37	169	27	56	164	187	8	13	141	125	12	43	102	178
22	118	79	186	141	43	47	114	68	153	88	60	173	178	184	108	125	107	3	175	3	17	113	114	88	118	79
200	76	118	141	163	168	168	183	175	12	111	45	182	122	41	68	8	84	114	120	65	13	146	82	65	62	164
195	131	125	41	159	65	92	28	131	43	90	150	154	108	159	62	52	81	173	39	111	153	73	92	29	175	108
145	166	52	168	92	129	143	77	144	168	117	145	77	118	29	87	113	45	190	99	90	111	98	29	104	15	125
5	137	175	3	190	130	147	54	15	3	95	98	21	32	197	120	76	5	130	119	105	117	174	148	16	166	62
69	40	87	148	143	147	157	36	18	114	11	25	117	131	111	76	107	35	128	166	187	157	100	104	167	31	113
125	46	15	142	2	95	54	163	146	82	33	87	11	1	16	81	119	112	66	98	147	92	155	182	180	9	18
55	97	81	179	21	41	51	187	119	148	147	122	147	31	179	22	195	120	74	200	152	161	81	177	90	37	84
68	87	166	21	138	61	61	147	20	190	28	178	74	140	162	25	97	15	152	85	134	152	79	72	189	6	45
156	80	132	136	43	59	199	179	200	129	109	185	189	73	105	151	156	151	123	14	59	147	76	28	161	99	26
20	164	121	109	59	141	43	65	46	74	199	7	43	34	138	139	98	85	154	4	95	104	127	101	199	151	112
58	127	19	44	192	3	103	63	112	176	48	144	114	45	148	191	121	76	116	46	186	179	87	21	47	56	35
191	18	14	117	117	138	63	190	139	47	74	4	47	25	50	140	62	79	28	96	197	154	137	117	92	139	107
4	62	160	17	16	114	184	43	75	110	167	22	177	80	165	9	140	178	49	84	44	43	107	94	3	46	160
57	52	34	103	184	199	16	186	80	181	182	73	192	133	63	89	26	121	153	22	170	101	19	51	12	1	53
149	20	78	187	104	66	188	59	86	41	154	58	104	57	173	96	175	126	16	93	129	36	62	111	17	96	1
6	139	71	74	169	110	197	189	137	30	101	112	90	96	109	18	9	89	169	52	21	199	145	142	117	60	75
